Country Name,Year,CO2 emissions (metric tons per capita),CO2 emissions (kt),Urban population (% of total population),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita)
Guyana,82000,83.96795322285298,106214.09014586755,1163.311,1.3184084620000003,440620.33827178454,131440.8241022858,104237.36419908341,91.06058604661223,33709.81867335494
Haiti,82000,12.695555143807637,111800.93846143692,1546.293,72.542378715,432472.76008835353,36370.0406919047,202579.43420954412,32.26134828852897,15871.266652940736
Honduras,82000,35.797787909701924,259447.6018862626,1890.7969999999998,102.13702393899997,769770.9811147781,97322.5618444458,296024.5341044583,61.61258224396805,24950.33833083046
"Hong Kong SAR, China",82000,189.0618500039198,1108830.5996763373,4041.1499999999996,41.71952704300001,2527351.992295769,490345.9530272381,625859.3968208234,117.62925975069598,78848.79654048916
Hungary,82000,239.42720671863407,2441354.2365842075,2740.9419999999996,-9.338872653999998,3306300.7986250166,-12600.528792602556,411441.74622764066,95.99065827188619,104430.71547184871
Iceland,82000,292.26159654509223,133352.43022169187,3770.0640000000008,48.443211699999985,413657.6680906316,149180.96853226854,64898.7208518604,39.01797359428898,407177.1569217879
India,82000,39.748269584677224,41690024.008088335,1159.3829999999998,70.33539072999999,72529220.98984393,-3334753.453506794,22451347.06442841,83.17120141537985,20074.30694821295
Indonesia,82000,55.777395830929024,11170607.28044608,1655.02,64.15063254399999,31761007.108535275,6440751.712908084,10783754.59431578,76.72835037066447,30756.282007135
"Iran, Islamic Rep.",82000,215.1794396520035,13912821.03986843,2604.974,81.34261178800001,18856001.38184529,-194990.59657782444,3664016.574914206,111.03269296705464,83423.27199965919
Iraq,82000,152.457395646531,3608467.8386421157,2828.472999999999,110.97419780200002,4638776.919103744,78879.886069321,607736.8798313029,122.24582896355382,54518.84797526072
Ireland,82000,359.61383613608825,1451489.8870129574,2431.3460000000005,39.23572699600001,2656319.836025148,147014.52289541805,637249.8527003006,121.91381913966144,121719.51369263932
Israel,82000,316.60635463112374,1982923.4182602183,3733.144,88.97287026599997,2607336.7088641007,135788.24425815628,331788.494456167,120.6827640955386,110531.49946473981
Italy,82000,276.9565418347103,15611991.01848093,2779.4120000000003,5.587410718999999,19033231.427651506,-101848.86812443438,1951108.1809157168,106.41978538644696,109585.85515576322
Jamaica,82000,127.29877923317477,365986.04367916635,2118.334,32.81532526200001,561583.0013462033,49138.93885772381,87767.86481508406,110.61964627145362,49086.345016493244
